HeLa S3 2-26-09,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Image Number,1,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,,Mode,
,71,69,63,68,68,68,68,69,64,67,67,68,68,68,68,67,67,67,67,66,,68,40%
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,,,
1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,,3,95%
2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,100%
3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,95%
4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,100%
5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,,2,95%
6,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,,1,95%
7,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,3,100%
8,3,3,2,3,3,3,3,4,3,3,2,3,3,3,3,3,3,3,3,3,,3,85%
9,1,2,1,1,1,1,1,1,2,2,1,1,1,2,2,2,2,2,1,2,,1,55%
10,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,3,100%
11,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,100%
12,2,2,2,2,2,2,2,2,3,2,2,2,2,3,2,2,2,2,2,2,,2,90%
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,100%
14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,100%
15,4,4,3,4,4,3,3,4,3,4,3,3,4,4,4,3,3,3,4,4,,4,55%
16,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,,3,95%
17,2,2,2,3,2,2,2,3,3,2,3,3,3,3,3,3,2,3,3,3,,3,60%
18,3,2,1,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,3,2,,2,80%
19,2,2,1,2,2,2,1,2,2,2,2,1,1,2,2,2,1,2,1,2,,2,70%
20,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,100%
21,3,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,,2,90%
22,1,1,1,1,1,1,1,2,1,1,1,1,2,2,2,2,1,1,1,1,,1,75%
X,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,100%
Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,100%
der(2:6),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,100%
der(3;5),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,100%
der(6;1),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,100%
der(5;3;8),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,100%
der(5),2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,100%
der(17;11;17),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,100%
der(6),1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,,1,95%
der(9;20),1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,,1,95%
der(22;20),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,,1,95%
der(5;9),1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,,1,90%
der(14;17),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,100%
der(18),1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,,1,90%
der(22;5),1,1,0,1,1,1,1,0,1,1,1,1,0,0,0,0,1,0,1,1,,1,65%
der(9),1,0,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,,1,50%
der(17;19),1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,,1,40%
der(19;20),0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,,1,30%
der(2;3),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,100%
der(3;12),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,100%
der(12;14),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,100%
i(13),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,100%
der(6;1;9),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,100%
der(8;13;19),1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,95%
der(15),0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,1,10%
der(12),1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,,1,90%
der(3;18),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,5%
der(18;19),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,5%
min(8),0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,1,5%
der(17)?,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,5%
der(12;3;8),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,100%
der(1;3),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,100%
der(X;16),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,100%
der(10;2),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,100%
der(13;19),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,100%
der(8;11),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,100%
der(3;2;10),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,100%
der(19;14),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,100%
der(?),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,100%
der(9;11;9),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,100%
der(20;22;1;6),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,100%
der(5;15),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,100%
der(7;17),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,100%
der(6;9;8),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,100%
der(9;16),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,100%
der(2),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,100%
der(17;5),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,100%
der(6;9;19),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,100%
der(?),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,100%
der(9;11;20),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,100%
der(?;20),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,100%
der(16;9;20),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,100%
der(1),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,100%
der(11;17),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,100%
der(6;22;5),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,100%