File name,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Image #,1,3,5,7,8,10,14,16,17,10,18,19,20,,,,,,,,,MODE,,AVG,SD
Chr,43,43,44,43,42,44,44,44,45,44,44,44,45,44,0,0,0,0,0,0,,44,40%,30.65,20.07554482
,K1,K2,K3,K4,K5,K6,K7,K8,K9,K10,K11,K12,K13,K14,K15,K16,K17,K18,K19,K20,,,,,
1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,1,65%,,
2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,2,65%,,
3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,2,65%,,
4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,1,65%,,
5,4,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,2,65%,,
6,0,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,1,65%,,
7,0,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,2,65%,,
8,0,1,1,1,1,1,1,1,2,1,1,1,1,1,,,,,,,,1,60%,,
9,0,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,2,65%,,
10,3,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,2,65%,,
11,0,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,2,65%,,
12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,1,70%,,
13,2,2,2,2,2,2,2,2,2,2,1,2,2,2,,,,,,,,2,65%,,
14,2,1,2,0,1,1,1,1,1,1,1,1,1,1,,,,,,,,1,55%,,
15,1,1,1,1,0,1,1,1,1,1,1,1,1,1,,,,,,,,1,65%,,
16,0,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,2,65%,,
17,0,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,1,65%,,
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,70%,,
19,0,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,2,65%,,
20,0,2,2,2,1,2,2,2,2,2,2,2,2,2,,,,,,,,2,60%,,
21,0,0,2,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,1,55%,,
22,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,1,70%,,
X,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,2,70%,,
Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,70%,,
"der (5,6)",0,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,1,65%,,
"der (4,22)",1,0,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,1,65%,,
"der (8,12)",0,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,1,65%,,
der (5-),1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,1,70%,,
der (14-),0,0,0,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,1,55%,,
"der (17,19)",0,1,1,1,1,1,1,1,1,1,1,1,2,1,,,,,,,,1,60%,,
der (15-),1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,65%,,
"der (18,14,18)",0,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,2,65%,,
"der(18,14)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,70%,,
"der (8,21)",0,1,0,1,1,1,1,1,1,1,1,1,0,1,,,,,,,,1,55%,,
"der (1,15)",0,1,1,1,1,1,1,1,1,1,1,1,0,1,,,,,,,,1,60%,,
der (X-),0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,70%,,
der (1-),0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,70%,,
unknown Var,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,70%,,
der (15+),0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,70%,,
"der (21,19)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,70%,,
"der (19,4)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,70%,,
"der (11,14)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,70%,,
"der (11,22,11)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,65%,,
"der (12,3)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,65%,,
"der (10, 15)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,65%,,
"der (10,13)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,65%,,
der (14+),1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,65%,,
"der (15,3)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,65%,,
"der (5,4,5)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,65%,,
"der (14,12,14)",3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,65%,,
der (10-),1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,65%,,
der (13+),1,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,,,0,60%,,
der (11-),1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,65%,,
"der(21,14)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,65%,,
"der(4,22,4)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,65%,,
"der(14,18,14)",0,0,0,0,0,0,0,0,0,0,0,0,2,0,,,,,,,,0,65%,,